split,method,metric,n,mean,std
benign,se_smoothllm,copies_used,300,6.946666666666666,1.3277922766716381
benign,se_smoothllm,prompt_tokens,300,448.7266666666667,91.54887187742395
benign,se_smoothllm,completion_tokens,300,925.6866666666666,193.08958312813652
benign,smoothllm_fixed,copies_used,300,10.0,0.0
benign,smoothllm_fixed,prompt_tokens,300,646.5866666666667,60.29023300842009
benign,smoothllm_fixed,completion_tokens,300,1330.1266666666668,187.41190293065483
benign,undefended,copies_used,300,1.0,0.0
benign,undefended,prompt_tokens,300,54.9,4.035378660851401
benign,undefended,completion_tokens,300,145.6,16.40967982543365
harmful,se_smoothllm,copies_used,300,6.203333333333333,1.456844836790739
harmful,se_smoothllm,prompt_tokens,300,653.2333333333333,158.8813072333647
harmful,se_smoothllm,completion_tokens,300,627.5533333333333,253.53426969264763
harmful,smoothllm_fixed,copies_used,300,10.0,0.0
harmful,smoothllm_fixed,prompt_tokens,300,1053.3466666666666,88.12532780207383
harmful,smoothllm_fixed,completion_tokens,300,1000.65,222.61681950777933
harmful,undefended,copies_used,300,1.0,0.0
harmful,undefended,prompt_tokens,300,77.5,5.563557967481339
harmful,undefended,completion_tokens,300,146.39,18.588968030567795
benign,se_vs_fixed,query_reduction,300,0.3053333333333333,0.13277922766716382
benign,se_vs_fixed,prompt_token_reduction,300,0.304948533816253,0.1326451863825115
benign,se_vs_fixed,completion_token_reduction,300,0.30158816311305775,0.13379207417757377
harmful,se_vs_fixed,query_reduction,300,0.3796666666666667,0.1456844836790739
harmful,se_vs_fixed,prompt_token_reduction,300,0.37940354842487106,0.14565878853709072
harmful,se_vs_fixed,completion_token_reduction,300,0.3851158534520261,0.16240055955743946
